"name","bpm","genre","start time","end time","playtime","deck"
"Beez In The Trap (Intro Dirty)","75","Hip Hop","11:03:18 PM CDT","11:06:16 PM CDT","00:02:58","1"
"Kiss Me Thru The Phone (Intro Clean)","75","Hip Hop","11:04:56 PM CDT","11:07:31 PM CDT","00:02:35","2"
"Cyclone (Intro Dirty)","78","Hip Hop","11:06:23 PM CDT","11:08:06 PM CDT","00:01:43","1"
"Shawty (Intro Dirty)","79","Hip Hop","11:07:31 PM CDT","11:08:44 PM CDT","00:01:13","2"
"Walk It Out (Intro Dirty)","80","Hip Hop","11:08:06 PM CDT","11:10:06 PM CDT","00:02:00","1"
"Cake (Intro Dirty)","80","Hip Hop","11:08:44 PM CDT","11:11:05 PM CDT","00:02:21","2"
"Dance (Ass) (Remix) (Intro Dirty)","80","Hip Hop","11:10:06 PM CDT","11:13:44 PM CDT","00:03:38","1"
"Drop It Low It's Hot (DIRTY-DJ Fabian Blend)","92","Blend/mashup","11:12:21 PM CDT","11:14:17 PM CDT","00:01:56","2"
"Best Friend (Intro Dirty)","94","Hip Hop","11:13:44 PM CDT","11:15:15 PM CDT","00:01:31","1"
"Blow The Whistle (Intro Outro) (Clean)","100","Hip Hop","11:14:17 PM CDT","11:15:59 PM CDT","00:01:42","2"
"Work It (Refresh Epic Intro) (Dirty Extended)","102","Hip Hop","11:15:15 PM CDT","11:16:29 PM CDT","00:01:14","1"
"Pass That Dutch (Intro Dirty)","111","Hip Hop","11:15:59 PM CDT","11:17:29 PM CDT","00:01:30","2"
"Shake (Intro Dirty)","118","Latin Pop","11:16:29 PM CDT","11:19:14 PM CDT","00:02:45","1"
"DJ Got Us Fallin In Love (BPM Supreme Slam Edit) (Clean Extended)","120","Pop","11:17:29 PM CDT","11:20:49 PM CDT","00:03:20","2"
"Yeah 3x (Explicit)","130","","11:19:14 PM CDT","11:22:25 PM CDT","00:03:11","1"
"Trap Queen (DJ OD 'Reload' Edit) Dirty","126","Mainstage EDM","11:20:49 PM CDT","11:24:16 PM CDT","00:03:27","2"
"Work (Remix) (Smassh Mainstage Edit) Dirty","126","Hip Hop/Mainstage","11:22:25 PM CDT","11:25:32 PM CDT","00:03:07","1"
"Stephanie (Extended Mix) Dirty","130","House","11:24:16 PM CDT","11:27:06 PM CDT","00:02:50","2"
"Shots (Intro Dirty)","128","Pop","11:26:20 PM CDT","11:27:57 PM CDT","00:01:37","1"
"In The Ayer (Deville 2025 'Rattle' VIP) Dirty","128","Bass House/Mainstage","11:27:06 PM CDT","11:29:21 PM CDT","00:02:15","2"
"Promiscuous (Smassh 2024 Edit) Clean","128","Pop/Electro","11:28:23 PM CDT","11:30:34 PM CDT","00:02:11","1"
"Mr. Brightside (Mister Gray Rock The Place Edit) (Clean Extended)","128","Electro House","11:29:21 PM CDT","11:32:46 PM CDT","00:03:25","2"
"S&M (Dj Mila & Degan Edit) Dirty","128","Bass House","11:30:34 PM CDT","11:34:00 PM CDT","00:03:26","1"
"I Love It (Intro Dirty)","126","Dance Pop","11:32:46 PM CDT","11:35:27 PM CDT","00:02:41","2"
"Somebody's Watching Me (Club Killers 2023 Spooky Bootleg) Clean","126","Halloween/EDM","11:34:00 PM CDT","11:37:28 PM CDT","00:03:28","1"
"Pursuit Of Happiness (Steve Aoki Remix) (Dirty Extended)","128","Electro House","11:35:27 PM CDT","11:38:37 PM CDT","00:03:10","2"
"Hotel Room Service","126","","11:37:28 PM CDT","11:40:56 PM CDT","00:03:28","1"
"Fuego (Explicit)","135","","11:38:37 PM CDT","11:42:59 PM CDT","00:04:22","2"
"Somebody That I Used To Know (Tiger Toast Remix) Clean","130","House","11:42:03 PM CDT","11:47:13 PM CDT","00:05:10","1"
"Anxiety (DJ Nasa Remix) (Dirty Extended)","129","Pop","11:42:59 PM CDT","11:45:35 PM CDT","00:02:36","2"
"OMG (Intro Clean)","130","Dance Pop","11:45:35 PM CDT","11:50:04 PM CDT","00:04:29","2"
"No Hands (Intro Dirty)","132","Hip Hop","11:47:13 PM CDT","11:48:42 PM CDT","00:01:29","1"
"Memories (Refresh Personal Edit) (Dirty Extended)","130","Dance Pop","11:48:42 PM CDT","11:51:35 PM CDT","00:02:53","1"
"No Hands (Intro Dirty)","132","Hip Hop","11:50:04 PM CDT","11:55:45 PM CDT","00:05:41","2"
"Get It Shawty (Intro Clean)","128","R&B","11:52:17 PM CDT","11:57:20 PM CDT","00:05:03","1"
"Bottoms Up (Intro Dirty)","74","Top 40","11:55:45 PM CDT","11:59:59 PM CDT","00:04:14","2"
"BedRock (Intro Dirty)","74","Hip Hop","11:58:38 PM CDT","12:00:44 AM CDT","00:02:06","1"
"Whatever You Like (Intro Dirty)","75","Hip Hop","12:00:12 AM CDT","12:01:28 AM CDT","00:01:16","2"
"Rake It Up (Intro Dirty)","75","Hip Hop","12:00:44 AM CDT","12:02:29 AM CDT","00:01:45","1"
